City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
172,poway,32.9628,-117.0359,94.12,62,0,10.36,US,1661114218
173,pionki,51.476,21.4499,70.59,42,100,4.38,PL,1661114241
174,barra do bugres,-15.0725,-57.1811,86.25,33,47,3.49,BR,1661114241
175,murray bridge,-35.1167,139.2667,56.12,90,0,9.31,AU,1661114242
176,provideniya,64.3833,-173.3,52.02,54,0,0.78,RU,1661114242
177,junagarh,19.8667,82.9333,74.66,91,99,5.73,IN,1661114243
178,lagdo,9.05,13.7333,69.89,96,98,6.35,CM,1661114243
179,asfi,32.2994,-9.2372,74.61,73,0,19.04,MA,1661114244
180,leningradskiy,69.3833,178.4167,43.5,73,15,12.12,RU,1661114244
181,laguna,38.421,-121.4238,98.31,35,0,10.36,US,1661114245
182,lagoa,39.05,-27.9833,73.6,80,54,4.81,PT,1661114245
183,natal,-5.795,-35.2094,82.62,69,20,14.97,BR,1661113961
184,lorengau,-2.0226,147.2712,79.88,80,99,8.43,PG,1661114246
185,chapaevsk,52.9813,49.7112,67.95,57,0,6.62,RU,1661114247
186,fort nelson,58.8053,-122.7002,76.59,44,20,3.44,CA,1661114247
187,kapuskasing,49.4169,-82.4331,71.69,56,75,8.05,CA,1661114169
188,clarence town,-32.5833,151.7833,50.86,92,36,3.06,AU,1661114248
189,enshi,30.3,109.4833,75.2,83,82,0.34,CN,1661114248
190,gidole,5.65,37.3667,61.59,59,100,1.5,ET,1661114249
191,houma,29.5958,-90.7195,90.0,75,0,10.36,US,1661114086
192,kindu,-2.95,25.95,75.34,64,95,2.06,CD,1661114250
193,peniche,39.3558,-9.3811,69.3,93,18,17.13,PT,1661114250
194,cherskiy,68.75,161.3,62.35,58,100,17.0,RU,1661114251
195,geraldton,-28.7667,114.6,46.81,100,1,8.05,AU,1661114251
196,abong mbang,3.9833,13.1833,67.89,97,99,1.19,CM,1661114252
197,dikson,73.5069,80.5464,42.82,96,100,12.91,RU,1661113991
198,ancud,-41.8697,-73.8203,52.34,77,91,1.74,CL,1661114058
199,kastamonu,41.5,33.6667,65.71,81,2,2.59,TR,1661114253
200,bandarbeyla,9.4942,50.8122,76.26,83,65,29.19,SO,1661114253
201,yulara,-25.2406,130.9889,50.94,45,0,4.12,AU,1661114254
202,sisimiut,66.9395,-53.6735,42.93,76,52,8.08,GL,1661114254
203,krasnoselkup,65.7,82.4667,40.59,80,69,7.29,RU,1661114114
204,hannibal,39.7084,-91.3585,79.7,40,37,8.39,US,1661114077
205,lompoc,34.6391,-120.4579,84.69,78,100,11.5,US,1661114255
